Comment_id,author,Reply_for,Type,video_id,total_reply,like_count,published_at,textdisplay,updatedat
UgwSVZWC8oVNTtad9xB4AaABAg.99LZOgggaa399LpztnU4dl,@DataProfessor,UgwSVZWC8oVNTtad9xB4AaABAg,2,TU3koPyFZfw,0,2,2020-06-01T05:07:31Z,"Thanks Ken, indeed!",2020-06-01T05:07:31Z
UgwSVZWC8oVNTtad9xB4AaABAg.99LZOgggaa399MZaakmYzX,@mogomaa7475,UgwSVZWC8oVNTtad9xB4AaABAg,2,TU3koPyFZfw,0,3,2020-06-01T11:54:45Z,Gents would  love to see reviews for learning websites for data science. Also reviews for online master programs in data science and analytics. Thank you and keep up the good work.,2020-06-01T11:54:45Z
UgwSVZWC8oVNTtad9xB4AaABAg.99LZOgggaa399MagJiXwoo,@DataProfessor,UgwSVZWC8oVNTtad9xB4AaABAg,2,TU3koPyFZfw,0,0,2020-06-01T12:13:01Z,@@mogomaa7475 Thank you very much for the kind suggestion. Will definitely look into this. 😃,2020-06-01T12:13:01Z
Ugzto2Ycvc_wLlpZ8bJ4AaABAg,@amitabhadey7222,,1,sepml4GLLSM,0,0,2022-03-10T02:19:52Z,"I am getting this error during my Jekyll build: <br>Error: YAML Exception reading /github/workspace/_posts/<a href=""http://2021-03-09-data-preprocessing.md/"">2021-03-09-Data-Preprocessing.md</a>: (&lt;unknown&gt;): did not find expected alphabetic or numeric character while scanning an alias at line 4 column 8<br><br>Can&#39;t seem to find a solution. If anyone&#39;s got anything, please share. Thanks!",2022-03-10T02:19:52Z
Ugxdpk7msSVT1_6Xdot4AaABAg,@Ocelot911,,1,sepml4GLLSM,0,0,2022-02-26T21:53:53Z,it says to not check the include all branches checkbox. in the instructions..,2022-02-26T21:53:53Z
UgyDnRZuOuktx7LV3oZ4AaABAg,@d3v487,,1,sepml4GLLSM,0,0,2022-01-15T15:06:39Z,Does plotly interactively work in fastpages ?,2022-01-15T15:06:39Z
Ugx6-u9L-xguz-bUzN14AaABAg,@theafricanquant501,,1,sepml4GLLSM,1,1,2021-11-21T15:37:51Z,step by step and smooth. built some sites already. even converted to a custom domain url too. Thanks for this.,2021-11-21T15:37:51Z
Ugx6-u9L-xguz-bUzN14AaABAg.9V0GnHYGRwZ9V0IO1aB6Rc,@DataProfessor,Ugx6-u9L-xguz-bUzN14AaABAg,2,sepml4GLLSM,0,0,2021-11-21T15:51:44Z,You&#39;re welcome! :),2021-11-21T15:51:44Z
UgySbVAXAiYwCo5lia54AaABAg,@cdang554,,1,sepml4GLLSM,1,2,2021-07-28T05:07:02Z,"After pulling, I still haven&#39;t gotten the pull request for initial set up! So strange...",2021-07-28T05:07:02Z
UgySbVAXAiYwCo5lia54AaABAg.9QKSOaek3n59dUpdhNJXOr,@zhenyagoncharov2544,UgySbVAXAiYwCo5lia54AaABAg,2,sepml4GLLSM,0,0,2022-07-15T05:10:52Z,Same! How long did it take you before the pull request was complete?,2022-07-15T05:10:52Z
Ugz86_4_X40QREwNsSt4AaABAg,@terraflops,,1,sepml4GLLSM,1,1,2021-07-14T03:34:11Z,"It&#39;s interesting to see how this is like a version of Rmarkdown with knitr package, which has html and code chunks. This is cool.",2021-07-14T03:34:11Z
Ugz86_4_X40QREwNsSt4AaABAg.9PlEdKPfTeJ9PlTtRCvQnu,@DataProfessor,Ugz86_4_X40QREwNsSt4AaABAg,2,sepml4GLLSM,0,0,2021-07-14T05:47:27Z,"That’s a great way of putting it, thanks! The other cool thing is the CI/CD automatic builds from the updated code.",2021-07-14T05:47:27Z
UgxXlupGUza-GRx8m9F4AaABAg,@mariopaul6505,,1,sepml4GLLSM,1,1,2021-07-13T15:16:59Z,Might need to try this out! Loved your other portfolio with Hugo so I&#39;m sure I&#39;ll enjoy this too. Awesome video Chanin!,2021-07-13T15:16:59Z
UgxXlupGUza-GRx8m9F4AaABAg.9PjvGuxua659Pk0T5YoCG9,@DataProfessor,UgxXlupGUza-GRx8m9F4AaABAg,2,sepml4GLLSM,0,1,2021-07-13T16:11:05Z,"Thanks Mario, yes the Hugo one is also one of my favorite!",2021-07-13T16:11:05Z
UgwdacvRO_YVpi8ndzh4AaABAg,@nathanzoakah1434,,1,sepml4GLLSM,10,2,2021-07-13T15:02:13Z,Hello! Thanks for this tutorial.  I&#39;m not getting the pull request to proceed to the next stages.,2021-07-13T15:02:13Z
UgwdacvRO_YVpi8ndzh4AaABAg.9Pjt_jC-0XK9Pk0K9aC8LA,@DataProfessor,UgwdacvRO_YVpi8ndzh4AaABAg,2,sepml4GLLSM,0,2,2021-07-13T16:09:52Z,A simple refresh after a short moment might do the trick.,2021-07-13T16:09:52Z
UgwdacvRO_YVpi8ndzh4AaABAg.9Pjt_jC-0XK9Q8ZRN9rlJ0,@fabiocarlesso,UgwdacvRO_YVpi8ndzh4AaABAg,2,sepml4GLLSM,0,1,2021-07-23T14:17:41Z,@@DataProfessor I&#39;m not getting the pull request to proceed to the next stages.,2021-07-23T14:17:41Z
UgwdacvRO_YVpi8ndzh4AaABAg.9Pjt_jC-0XK9Q8a6BCi0PR,@DataProfessor,UgwdacvRO_YVpi8ndzh4AaABAg,2,sepml4GLLSM,0,0,2021-07-23T14:32:16Z,"@@fabiocarlesso Hi, Have you tried refreshing the page again",2021-07-23T14:32:16Z
UgwdacvRO_YVpi8ndzh4AaABAg.9Pjt_jC-0XK9QBvzs5Us52,@fabiocarlesso,UgwdacvRO_YVpi8ndzh4AaABAg,2,sepml4GLLSM,0,1,2021-07-24T21:41:14Z,"@@DataProfessor Hello, I resolved that problem doind that &quot;If you are not seeing a PR, please make sure you have third party actions enabled in your organization: Settings -&gt; Actions -&gt; Actions Permissions -&gt; Enable local and third party Actions for this repository&quot; thanks",2021-07-24T21:41:14Z
UgwdacvRO_YVpi8ndzh4AaABAg.9Pjt_jC-0XK9QCJGTv2UUy,@DataProfessor,UgwdacvRO_YVpi8ndzh4AaABAg,2,sepml4GLLSM,0,0,2021-07-25T01:13:21Z,"@@fabiocarlesso Thanks for sharing, this will help a lot of people. 😊",2021-07-25T01:13:21Z
UgxoPajEAglAX2_Nfad4AaABAg,@benxneo,,1,sepml4GLLSM,1,1,2021-07-13T14:20:26Z,awesome tutorial!,2021-07-13T14:20:26Z
UgxoPajEAglAX2_Nfad4AaABAg.9PjonjlN1h39Pk0XttN_pQ,@DataProfessor,UgxoPajEAglAX2_Nfad4AaABAg,2,sepml4GLLSM,0,0,2021-07-13T16:11:44Z,Thanks Benedict!,2021-07-13T16:11:44Z
UgyqDwTT3g4QSLGZloV4AaABAg,@chinmayakaundanya3151,,1,sepml4GLLSM,1,1,2021-07-13T14:14:17Z,Very useful and easy CI/CD approach to build and maintain portfolio website. Thank you for this content @Data Professor,2021-07-13T14:14:44Z
UgyqDwTT3g4QSLGZloV4AaABAg.9Pjo5gV_ofN9Pk0YiXuL3w,@DataProfessor,UgyqDwTT3g4QSLGZloV4AaABAg,2,sepml4GLLSM,0,1,2021-07-13T16:11:51Z,Glad it was helpful!,2021-07-13T16:11:51Z
Ugy20WRORL0aS6oaukl4AaABAg,@underratedliving595,,1,sepml4GLLSM,1,1,2021-07-13T09:33:30Z,thanks sir,2021-07-13T09:33:30Z
Ugy20WRORL0aS6oaukl4AaABAg.9PjIy3m2GRD9PjUgUA2_3i,@DataProfessor,Ugy20WRORL0aS6oaukl4AaABAg,2,sepml4GLLSM,0,0,2021-07-13T11:15:57Z,A pleasure!,2021-07-13T11:15:57Z
UgyxlhTo9t8919MmZfx4AaABAg,@777guy1,,1,sepml4GLLSM,1,3,2021-07-13T09:07:07Z,This is somewhat serendipitous because I had just started looking for a way to create a portfolio website,2021-07-13T09:07:07Z
UgyxlhTo9t8919MmZfx4AaABAg.9PjFwpDvMeu9PjUjr57gtt,@DataProfessor,UgyxlhTo9t8919MmZfx4AaABAg,2,sepml4GLLSM,0,0,2021-07-13T11:16:24Z,"Awesome, perfect timing 😊",2021-07-13T11:16:24Z
