,video_id,video_title,upload_date,view_count,like_count,comment_count
76,2qlVv4QS5B4,Use this tip to make your career transition smooth! 💡 #codebasics #shorts #dataanalysis #data,2023-09-13,8389,471,11
77,NimKbtap1lU,Data Science Roadmap! 🛣✅ #codebasics #shorts #dataanalysis #data,2023-09-12,7675,732,46
78,nGouSpt5elg,My First Job Salary vs NOW?💵💹 #codebasics #shorts #dataanalysis #data,2023-09-11,25722,1666,30
79,wNbq6DxFcwU,15 Design Rules for BI Dashboard! 📊🌟 #codebasics #shorts #dataanalysis #data,2023-09-10,9179,1102,12
80,YCA1inoLmQQ,SQL 5 career Paths! ✅👨‍💻 #codebasics #shorts #dataanalysis #data,2023-09-09,14174,1162,16
81,Ouq0cCtqefE,The Ultimate Data Science Job Checklist! ✅  #codebasics #shorts #dataanalysis #data,2023-09-08,5990,469,13
82,GkQCChXvxw0,Data Analyst Job-Ready Checklist🚀🚀,2023-09-07,10656,783,12
83,b6gnP72mlyw,Langchain for LLMs! 🦜💡 #codebasics #shorts #dataanalysis #data,2023-09-06,4575,316,7
84,-JOoeynadEQ,Guided Data Science Projects for Your Resume!📄👨‍💼  #dataanalysis #datascience  #data  #shorts,2023-09-05,19372,1596,14
85,t81gqBvOr7o,Data Analyst Roadmap 2023 🚀,2023-09-04,27157,2564,50
86,rNJR2NhS2Ec,Programmer or Zookeeper? 🤔🐍🐼 #dataanalysis #datascience #data #shorts,2023-09-03,73715,2527,61
87,35mZDywp3TU,Using CHATGPT for DATA ANALYST interview! 🧠💡 #dataanalysis #datascience #data #shorts,2023-09-02,12622,1476,13
88,J5usVbAoB9c,Nurse👩‍⚕️ to Mom👨‍👩‍👦 to Data Analyst📊 #dataanalysis #datascience #data #shorts,2023-09-01,7342,300,5
89,6-UByNVIHwU,Something MORE IMPORTANT than tech skills! 🤔🤯 #dataanalysis #datascience #data #shorts,2023-08-31,7947,639,4
90,RmpuqY8_ZLw,5 Ways SQL is used in Data Industry! #dataanalysis #datascience #data #shorts,2023-08-30,14346,1127,9
91,XClkezjOtJY,3 ways to use ChatGPT for data analyst job interview! 👨‍💻  #dataanalysis #datascience #data #shorts,2023-08-29,18943,2020,9
